.-.----.... (a's)
.-.--.--...-..------.--..-. (aangeloopen)
.-.--.--...-..------- (aangeloot)
.-.--.--..--.-.--.-- (aangemaakt)
.-.--.--..--.-.--.-.. (aangemaand)
.-.--.--..--.-.-.-.-........-.-.. (aangemarcheerd)
.-.--.--..--.--..--.-.. (aangematigd)
.-.--.--..--...-.-.. (aangemeerd)
.-.--.--..--..-..-.. (aangemeld)
.-.--.--..--.-.--.-.. (aangemengd)
.-.--.--..--..-.-.-- (aangemerkt)
.-.--.--..--.-.-. (aangemeten)
.-.--.--..--.-.....-..-.. (aangemetseld)
.-.--.--..-----.-....--.-.. (aangemoedigd)
.-.--.--..-----..-.-.. (aangemoerd)
.-.--.--..-----.-.-. (aangemoeten)
.-.--.--..------....-..-.-.. (aangemonsterd)
.-.--.--..--..--.- (aangemunt)
.-.--.--..-..-.-..-.. (aangenaaid)
.-.--.--..-..-.--- (aangenaam)
.-.--.--..-..-.---.....-...-. (aangenaamheden)
.-.--.--..-..-.---.......-.. (aangenaamheid)
.-.--.--..-..-.---...- (aangenaamst)
.-.--.--..-..--....-.-.. (aangenaderd)
.-.--.--..-..---...-..-.. (aangenageld)
.-.--.--..-..---..-. (aangenamer)
.-.--.--..-.-----.-. (aangenomen)
.-.--.--..---.--..--...-.-.. (aangeopperd)
.-.--.--...--..--.-- (aangepakt)
.-.--.--...--..-...- (aangepast)
.-.--.--...--..-.-.. (aangepend)
.-.--.--...--...-....- (aangeperst)
.-.--.--...--....---.--.- (aangepijpt)
.-.--.--...--..-...--.-- (aangeplakt)
.-.--.--...--..-...--.- (aangeplant)
.-.--.--...--..-........-..-.-.. (aangepleisterd)
.-.--.--...--..-...--.--.- (aangeplempt)
.-.--.--...--..-..---.--.-.. (aangeploegd)
.-.--.--...--.------- (aangepoot)
.-.--.--...--.---.-.-.. (aangepord)
.-.--.--...--..-..-.-..-.. (aangepraaid)
.-.--.--...--..-..-.-- (aangepraat)
.-.--.--...--..-...-.-- (aangepreekt)
.-.--.--...--..-.....- (aangeprest)
.-.--.--...--..-..--...-. (aangeprezen)
.-.--.--...--..-...-.--.-..-..-.. (aangeprikkeld)
.-.--.--...--..-...-.-- (aangeprikt)
.-.--.--...--...--.- (aangepunt)
.-.--.--...-..-.--.-- (aangeraakt)
.-.--.--...-..-.-...-.. (aangeraasd)
.-.--.--...-..--...-. (aangeraden)
.-.--.--...-..--.-- (aangerakt)
.-.--.--...-..-----..-..-.. (aangerammeld)
.-.--.--...-..--.-.. (aangerand)
.-.--.--...-..--..-..-.. (aangerateld)
.-.--.--...-..---.....-.-.. (aangerazeerd)
.-.--.--...-..-.-.....- (aangerecht)
.-.--.--...-..-...-. (aangereden)
.-.--.--...-..--..-. (aangeregen)
.-.--.--...-....-.-- (aangereikt)
.-.--.--...-..-.-.-.-.. (aangerekend)
.-.--.--...-..-.-.. (aangerend)
.-.--.--...-...-.-.....- (aangericht)
.-.--.--...-......- (aangerist)
.-.--.--...-...-.....-..-.. (aangeritseld)
.-.--.--...-.---...-.. (aangeroeid)
.-.--.--...-.---..--..-. (aangeroepen)
.-.--.--...-.---..-.-.. (aangeroerd)
.-.--.--...-.---....- (aangeroest)
.-.--.--...-.---.-..-.. (aangerold)
.-.--.--...-.----.-..-. (aangeronnen)
.-.--.--...-.-------.-- (aangerookt)
.-.--.--...-...-.....-.-.....- (aangeruischt)
.-.--.--...-...--.-- (aangerukt)
.-.--.--.....-.-......-..-.- (aangeschaft)
.-.--.--.....-.-......--.-..-..-.. (aangeschakeld)
.-.--.--.....-.-......-.-..-...-..-.. (aangescharreld)
.-.--.--.....-.-.......-..-.. (aangescheld)
.-.--.--.....-.-.......-..--.- (aangescherpt)
.-.--.--.....-.-.......-.-- (aangeschikt)
.-.--.--.....-.-.....---..-...-...-..-.. (aangeschoffeld)
.-.--.--.....-.-.....-------..-..-.. (aangeschommeld)
.-.--.--.....-.-.....----.-. (aangeschoten)
.-.--.--.....-.-.....---...-.-. (aangeschoven)
.-.--.--.....-.-......-..-.-.--.- (aangeschraapt)
.-.--.--.....-.-......-..-.--.- (aangeschrapt)
.-.--.--.....-.-......-..-...-. (aangeschreden)
.-.--.--.....-.-......-.....-.---.. (aangeschreeuwd)
.-.--.--.....-.-......-.....-.-. (aangeschreven)
.-.--.--.....-.-......-.---...-.-.. (aangeschroefd)
.-.--.--.....-.-.......-....-...-..-.. (aangeschuifeld)
.-.--.--.....-.-.......-..-.-.. (aangeschuind)
.-.--.--......-------.-- (aangesjokt)
.-.--.--......------.-.-.. (aangesjord)
.-.--.--......------..-.---.. (aangesjouwd)
.-.--.--......-...---..-. (aangeslagen)
.-.--.--......-.....--.- (aangesleept)
.-.--.--......-...-.-..-.-.. (aangeslenterd)
.-.--.--......-....--..-. (aangeslepen)
.-.--.--......-.....-.-.-.. (aangesleurd)
.-.--.--......-........-.. (aangeslibd)
.-.--.--......-.....----.-- (aangeslijkt)
.-.--.--......-.....------.. (aangeslijmd)
.-.--.--......-....-.--...-.-.. (aangeslingerd)
.-.--.--......-..---..-.- (aangesloft)
.-.--.--......-..----.-.-. (aangesloken)
.-.--.--......-..---.--..-. (aangeslopen)
.-.--.--......-..----.-. (aangesloten)
.-.--.--.....--..-.. (aangesmeed)
.-.--.--.....--...-.-.. (aangesmeerd)
.-.--.--.....--.-.-. (aangesmeten)
.-.--.--.....-----.-..-.-. (aangesmolten)
.-.--.--.....-..-..-.---.. (aangesnauwd)
.-.--.--.....-..-...-. (aangesneden)
.-.--.--.....-...-..-.. (aangesneld)
.-.--.--.....-.---..-.-.. (aangesnoerd)
.-.--.--.....-.---.-.-.. (aangesnord)
.-.--.--.....-.---...-.-. (aangesnoven)
.-.--.--.....---.-..-.....-.-.. (aangesoldeerd)
.-.--.--......--..--.-..-. (aangespannen)
.-.--.--......--..-- (aangespat)
.-.--.--......--...- (aangespeet)
.-.--.--......--...-..-.. (aangespeld)
.-.--.--......--..-. (aangespen)
.-.--.--......--....-.. (aangespied)
.-.--.--......--....----.. (aangespijd)
.-.--.--......--....----.-..-.-.. (aangespijkerd)
.-.--.--......--....---.-..-.. (aangespijld)
.-.--.--......--..-....-...- (aangesplitst)
.-.--.--......--.---.-.. (aangespoed)
.-.--.--......--.---..-..-.. (aangespoeld)
.-.--.--......--.----.-..-. (aangesponnen)
.-.--.--......--.------.-.-.. (aangespoord)
.-.--.--......--..-.----.-.-. (aangesproken)
.-.--.--......--..-.----.--..-. (aangesprongen)
.-.--.--.....-.-.--. (aangestaan)
.-.--.--.....-.-.-.-.-.. (aangestaard)
.-.--.--.....-.-.-.-.- (aangestaart)
.-.--.--.....-.---.--.- (aangestampt)
.-.--.--.....-.-.--.- (aangestapt)
.-.--.--.....-...--...-.-.. (aangesteigerd)
.-.--.--.....-..-..-.. (aangesteld)
.-.--.--.....-.---.. (aangestemd)
.-.--.--.....-.--.--...-..-.. (aangestempeld)
.-.--.--.....-..-.-.-- (aangesterkt)
.-.--.--.....-....-.-. (aangesteven)
.-.--.--.....-....-.-.-.. (aangestevend)
.-.--.--.....-...---..-.-.. (aangestijfd)
.-.--.--.....-..-.-- (aangestikt)
.-.--.--.....-...--.- (aangestipt)
.-.--.--.....----..-.- (aangestoft)
.-.--.--.....-----.-.-. (aangestoken)
.-.--.--.....--------.-- (aangestookt)
.-.--.--.....----------.. (aangestoomd)
.-.--.--.....--------.-. (aangestooten)
.-.--.--.....----.--.- (aangestopt)
.-.--.--.....----.-.---.. (aangestormd)
.-.--.--.....----.-.- (aangestort)
.-.--.--.....----.-....-.-. (aangestorven)
.-.--.--.....----..-.---.. (aangestouwd)
.-.--.--.....----...-.-. (aangestoven)
.-.--.--.....-.-..-.-.-..-.. (aangestraald)
.-.--.--.....-.-..--.-.. (aangestrand)
.-.--.--.....-.-..-...-. (aangestreden)
.-.--.--.....-.-....--.- (aangestreept)
.-.--.--.....-.-..-.-.-. (aangestreken)
.-.--.--.....-.-...-.-- (aangestrikt)
.-.--.--.....-.-.-----.--...-..-.. (aangestrompeld)
.-.--.--.....-.-.---------.. (aangestroomd)
.-.--.--.....-..--.....-.-.. (aangestudeerd)
.-.--.--.....-..-..-.-.-.. (aangestuurd)
.-.--.--.....-..-.---.. (aangestuwd)
.-.--.--.......--.--.-..-..-.. (aangesukkeld)
.-.--.--..-.-...- (aangetast)
.-.--.--..-..-.-.-.-.. (aangeteekend)
.-.--.--..-...-..-.. (aangeteeld)
.-.--.--..-...-.-.. (aangeteerd)
.-.--.--..-.--..-. (aangetegen)
.-.--.--..-..-..-.. (aangeteld)
.-.--.--..-...-----.-.. (aangetijgd)
.-.--.--..-..-.-- (aangetikt)
.-.--.--..-...-..-.. (aangetild)
.-.--.--..-..----..-.-.. (aangetimmerd)
.-.--.--..------..-. (aangetogen)
.-.--.--..--------.-.. (aangetoond)
.-.--.--..-------...-..-.-.. (aangetooverd)
.-.--.--..----.-....- (aangetorst)
.-.--.--..-.-..-.--.- (aangetrapt)
.-.--.--..-.-..-...-. (aangetreden)
.-.--.--..-.-....--..--...-..-.. (aangetrippeld)
.-.--.--..-.-.---..-...-..-. (aangetroffen)
.-.--.--..-.-.----.--.-.-. (aangetrokken)
.-.--.--..-.-.---..-.---.. (aangetrouwd)
.-.--.--..-..-..--.-.. (aangetuigd)
.-.--.--.....-.-.-...-...-. (aangevallen)
.-.--.--.....-.--.--..-. (aangevangen)
.-.--.--.....-.-.-..-. (aangevaren)
.-.--.--.....-.-- (aangevat)
.-.--.--.....-..--.-.. (aangeveegd)
.-.--.--.....-.-. (aangeven)
.-.--.--.....-..-. (aangever)
.-.--.--.....-..-.... (aangevers)
.-.--.--.....-.- (aangevet)
.-.--.--.....-...---.-..-.. (aangevijld)
.-.--.--.....-..-.--. (aangeving)
.-.--.--.....-..-.--..-. (aangevingen)
.-.--.--.....-.-...--.-- (aangevlakt)
.-.--.--.....-.-...----.. (aangevlamd)
.-.--.--.....-.-..----.-.....-.-. (aangevlochten)
.-.--.--.....-.-..---...-.. (aangevloeid)
.-.--.--.....-.-..-----..-. (aangevlogen)
.-.--.--.....-.-..---- (aangevlot)
.-.--.--.....-.-..----.-. (aangevloten)
.-.--.--.....-----.-.....-.-. (aangevochten)
.-.--.--.....----.--.-.. (aangevoegd)
.-.--.--.....----..-..-.. (aangevoeld)
.-.--.--.....----..-.-.. (aangevoerd)
.-.--.--.....-----.-.-- (aangevonkt)
.-.--.--.....-.-..-.---.-.. (aangevraagd)
.-.--.--.....-.-.---.-..-. (aangevroren)
.-.--.--.....-.-.-----...-. (aangevrozen)
.-.--.--.....-..-.-..-.. (aangevuld)
.-.--.--.....-..-..-.-.-.. (aangevuurd)
.-.--.--...--.-.-..-.. (aangewaaid)
.-.--.--...--.--.-.....- (aangewacht)
.-.--.--...--.---.--...-..-.. (aangewaggeld)
.-.--.--...--.--.--.-..-.-.. (aangewakkerd)
.-.--.--...--.--.-....-..-.. (aangewandeld)
.-.--.--...--.-.......-. (aangewassen)
.-.--.--...--..-..-.. (aangeweld)
.-.--.--...--.-.-.. (aangewend)
.-.--.--...--.-.-.-- (aangewenkt)
.-.--.--...--.-.-..-..-.. (aangewenteld)
.-.--.--...--..-.-.-- (aangewerkt)
.-.--.--...--.- (aangewet)
.-.--.--...--....-.-. (aangeweven)
.-.--.--...--.--...-. (aangewezen)
.-.--.--...--...---..-.-.. (aangewijerd)
.-.--.--...--...--.- (aangewipt)
.-.--.--...--..- (aangewit)
.-.--.--...-----.-.-..-.-.. (aangewoekerd)
.-.--.--...------.-..-. (aangewonnen)
.-.--.--...-----.-..--..-. (aangeworpen)
.-.--.--...-----.-.-..-..-.. (aangeworteld)
.-.--.--...-----.-....-.-. (aangeworven)
.-.--.--...--.-.....-.-. (aangewreven)
.-.--.--..--...-.---.-.. (aangezaagd)
.-.--.--..--...-.-..-.. (aangezaaid)
.-.--.--..--...--.-- (aangezakt)
.-.--.--..--...--.-.. (aangezand)
.-.--.--..--...--.-.. (aangezegd)
.-.--.--..--.....-.. (aangezeid)
.-.--.--..--......-..-.. (aangezeild)
.-.--.--..--...- (aangezet)
.-.--.--..--...-.-. (aangezeten)
.-.--.--..--.....-.-..-.. (aangezeuld)
.-.--.--..--....-.-.....- (aangezicht)
.-.--.--..--....-.-.....-.-. (aangezichten)
.-.--.--..--....-.-.....-.---. (aangezichtje)
.-.--.--..--....-.-.....-.---.... (aangezichtjes)
.-.--.--..--....-.-.....-....--....----. (aangezichtspijn)
.-.--.--..--....-.-.....-....--....----..-. (aangezichtspijnen)
.-.--.--..--.....-. (aangezien)
.-.--.--..--..----.-.....- (aangezocht)
.-.--.--..--..---.- (aangezoet)
.-.--.--..--..-----..-. (aangezogen)
.-.--.--..--..----.-...-. (aangezonden)
.-.--.--..--....-.....-..-.-.. (aangezuiverd)
.-.--.--..--...--....-.-.. (aangezweefd)
.-.--.--..--...--...--.- (aangezweept)
.-.--.--..--...-----.--.-.. (aangezwoegd)
.-.--.--..--...-----.-...-...-. (aangezwollen)
.-.--.--..--...---------.-. (aangezwommen)
.-.--.--...-...-.-.. (aangeãrfd)
.-.--.--.....-..-. (aangieren)
.-.--.--....-.-. (aangieten)
.-.--.--.....-.- (aangift)
.-.--.--.....-.-. (aangifte)
.-.--.--.....-.-.-. (aangiften)
.-.--.--..-....----.-. (aanglimmen)
.-.--.--..-....-....-..-..-. (aanglinsteren)
.-.--.--..-..---....-. (aangloeien)
.-.--.--..-....-...--..-. (aangluipen)
.-.--.--..-....-.-..-. (aangluren)
.-.--.--.----.--...-. (aangonzen)
.-.--.--.---.-.-....-.--..-. (aangordingen)
.-.--.--..-..-..-.--.-. (aangrauwen)
.-.--.--..-..-...-.-. (aangraven)
.-.--.--..-..-...-..-.--. (aangraving)
.-.--.--..-..-...-..-.--..-. (aangravingen)
.-.--.--..-..-.--...-.-.. (aangrenzend)
.-.--.--..-....----.--...-. (aangrijnzen)
.-.--.--..-....---.--..-. (aangrijpen)
.-.--.--..-....---.--...-. (aangrijper)
.-.--.--..-....---.--...-.... (aangrijpers)
.-.--.--..-....---.--...-.--. (aangrijping)
.-.--.--..-....---.--...-.--..-. (aangrijpingen)
.-.--.--..-...-.-...-.-.-. (aangrinniken)
.-.--.--..-.---... (aangroei)
.-.--.--..-.---....-. (aangroeien)
.-.--.--..-.---.....-.--. (aangroeiing)
.-.--.--..-.---.....-.--..-. (aangroeiingen)
.-.--.--..-.---.-..-. (aangroenen)
.-.--.--..-.-------.-. (aangrommen)
.-.--......--.-.-. (aanhaken)
.-.--......-.-...-. (aanhalen)
.-.--......-.-....--. (aanhalig)
.-.--......-.-....--...-. (aanhaliger)
.-.--......-.-....--........-.. (aanhaligheid)
.-.--......-.-....--....- (aanhaligst)
.-.--......-.-....-.--. (aanhaling)
.-.--......-.-....-.--..-. (aanhalingen)
.-.--......-.-....-.--....-..-.-.-. (aanhalingsteeken)
.-.--......-.-....-.--....-..-.-.-.... (aanhalingsteekens)
.-.--......--.--. (aanhang)
.-.--......--.--...-....-.--. (aanhangeling)
.-.--......--.--...-....-.--.. (aanhangelinge)
.-.--......--.--...-....-.--..-. (aanhangelingen)
.-.--......--.--..-. (aanhangen)
.-.--......--.--...-. (aanhanger)
.-.--......--.--...-..-. (aanhangeren)
.-.--......--.--...-.... (aanhangers)
.-.--......--.--...--. (aanhangig)
.-.--......--.--......-.. (aanhangsel)
.-.--......--.--......-...-. (aanhangselen)
.-.--......--.--......-..... (aanhangsels)
.-.--......--.-.-..-.....----.- (aanhankelijk)
.-.--......--.-.-..-.....----.-..-. (aanhankelijker)
.-.--......--.-.-..-.....----.-.......-.. (aanhankelijkheid)
.-.--......--.-.-..-.....----.-...- (aanhankelijkst)
.-.--......-.-.-...-. (aanharden)
.-.--......-.-.-....-.--. (aanharding)
.-.--......-.-.-....-.--..-. (aanhardingen)
.-.--......-.-.-.-.-. (aanharken)
.-.--...............-. (aanhebben)
.-.--......-.-.....-.-. (aanhechten)
.-.--......-.-.....-..-. (aanhechter)
.-.--......-.-.....-..-.... (aanhechters)
.-.--......-.-.....-..-.--. (aanhechting)
.-.--......-.-.....-..-.--..-. (aanhechtingen)
.-.--......-.-.....-..-.--.....--...--.- (aanhechtingspunt)
.-.--......-.-.....-..-.--.....--...--.-.-. (aanhechtingspunten)
.-.--......-.-.....-..-.--.....--...--.-.---. (aanhechtingspuntje)
.-.--......-.-.....-..-.--.....--...--.-.---.... (aanhechtingspuntjes)
.-.--......-.-.....-.....-.. (aanhechtsel)
.-.--......-.-.....-.....-..... (aanhechtsels)
.-.--........-...-. (aanheelen)
.-.--........-. (aanhef)
.-.--........-...-..-. (aanheffen)
.-.--........-...-...-. (aanheffer)
.-.--........-...-...-.... (aanheffers)
.-.--........-...-...-.--. (aanheffing)
.-.--........-...-...-.--..-. (aanheffingen)
.-.--........-.-.-. (aanheften)
.-.--.......-...--..-. (aanhelpen)
.-.--........-----..-. (aanhijgen)
.-.--.......-.-.-.-. (aanhinken)
.-.--.......-....-. (aanhitsen)
.-.--.......-.....-. (aanhitser)
.-.--.......-.....-.... (aanhitsers)
.-.--.......-.....-.--. (aanhitsing)
.-.--.......-.....-.--..-. (aanhitsingen)
.-.--.....---..--...-...-. (aanhoepelen)
.-.--.....---....-.-. (aanhoeven)
.-.--.....---.-...-...-. (aanhollen)
.-.--.....--------..-. (aanhoogen)
.-.--.....--------...-.--. (aanhooging)
.-.--.....--------...-.--..-. (aanhoogingen)
.-.--.....------.--..-. (aanhoopen)
.-.--.....------.--...-.--. (aanhooping)
.-.--.....------.--...-.--..-. (aanhoopingen)
.-.--.....------.-.-....-. (aanhoorder)
.-.--.....------.-.-....-..-. (aanhoorderen)
.-.--.....------.-.-....-.... (aanhoorders)
.-.--.....------.-..-. (aanhooren)
.-.--.....------.-...--. (aanhoorig)
.-.--.....------.-...--......-...-. (aanhoorigheden)
.-.--.....------.-...--........-.. (aanhoorigheid)
.-.--.....------.-....-..-. (aanhoorster)
.-.--.....------.-....-..-.... (aanhoorsters)
.-.--.....---..--.. (aanhoud)
.-.--.....---..--...-. (aanhouden)
.-.--.....---..--...-.-.. (aanhoudend)
.-.--.....---..--...-.-.........-.. (aanhoudendheid)
.-.--.....---..--....-. (aanhouder)
.-.--.....---..--....-.... (aanhouders)
.-.--.....---..--....-.--. (aanhouding)
.-.--.....---..--....-.--..-. (aanhoudingen)
.-.--.......-...-...-. (aanhuilen)
.-.--.......-.--..--...-...-. (aanhuppelen)
.-.--.......-.--..-.....----.-.-. (aanhuwelijken)
.-.--.......-.--..-.....----.-..-.--. (aanhuwelijking)
.-.--.......-.--.-. (aanhuwen)
.-.--.......-.--..-.--. (aanhuwing)
.-.--....---.-...-. (aanijlen)
.-.--..---.---..-. (aanjagen)
.-.--..---.---...-. (aanjager)
.-.--..---.---...-.... (aanjagers)
.-.--..---..-..-.-......-. (aanjuichen)
.-.--..---..-..-.-.......-.--. (aanjuiching)
.-.--..---..-..-.-.......-.--..-. (aanjuichingen)
.-.--.-.-.-.-..-.-.-. (aankalken)
.-.--.-.-.-.-..-.-..-.--. (aankalking)
.-.--.-.-.-.-..-.-..-.--..-. (aankalkingen)
.-.--.-.-.-.--. (aankap)
.-.--.-.-.-.--..--..-. (aankappen)
.-.--.-.-...-...-..-. (aankeffen)
.-.--.-.-..-....-.-. (aankerven)
.-.--.-.-..-....-..-.--. (aankerving)
.-.--.-.-..-....-..-.--..-. (aankervingen)
.-.--.-.-...----.-.-. (aankijken)
.-.--.-.-.-...-.---....-..-. (aanklaagster)
.-.--.-.-.-...-.---....-..-..-. (aanklaagsteren)
.-.--.-.-.-...-.---....-..-.... (aanklaagsters)
.-.--.-.-.-...--.-.....- (aanklacht)
.-.--.-.-.-...--.-.....-.-. (aanklachten)
.-.--.-.-.-...---..-. (aanklagen)
.-.--.-.-.-...---...-. (aanklager)
.-.--.-.-.-...---...-..-. (aanklageren)
.-.--.-.-.-...---...-.... (aanklagers)
.-.--.-.-.-...---.--..-. (aanklampen)
.-.--.-.-.-...---.--...-. (aanklamper)
.-.--.-.-.-...---.--...-.... (aanklampers)
.-.--.-.-.-...---.--...-.--. (aanklamping)
.-.--.-.-.-...---.--...-.--..-. (aanklampingen)
.-.--.-.-.-...-..--..-..-. (aanklauteren)
.-.--.-.-.-....-...-. (aankleeden)
.-.--.-.-.-...----.-. (aanklemmen)
.-.--.-.-.-...----..-.--. (aanklemming)
.-.--.-.-.-...----..-.--..-. (aanklemmingen)
.-.--.-.-.-......-.-. (aankleven)
.-.--.-.-.-......-..-. (aanklever)
.-.--.-.-.-......-..-.... (aanklevers)
.-.--.-.-.-......-..-.--. (aankleving)
.-.--.-.-.-....----.-. (aanklimmen)
.-.--.-.-.-....-.-.-.-. (aanklinken)
.-.--.-.-.-..---.--..--..-. (aankloppen)
.-.--.-.-.-..---.......-. (aanklossen)
.-.--.-.-.-..----....-. (aanklotsen)
.-.--.-.--....---.--..-. (aanknijpen)
.-.--.-.--.------.--..-. (aanknoopen)
.-.--.-.--.------.--...-.--. (aanknooping)
.-.--.-.--.------.--...-.--..-. (aanknoopingen)
.-.--.-.--.------.--...-.--.....--...--.- (aanknoopingspunt)
.-.--.-.--.------.--...-.--.....--...--.-.-. (aanknoopingspunten)
.-.--.-.------..-....-.--. (aankomeling)
.-.--.-.------..-....-.--.. (aankomelinge)
.-.--.-.------..-....-.--..-. (aankomelingen)
.-.--.-.------..-....-.--....-.-......-.--. (aankomelingschap)
.-.--.-.------.-.-.. (aankomend)
.-.--.-.------..-. (aankomer)
.-.--.-.------..-.... (aankomers)
.-.--.-.------...- (aankomst)
.-.--.-.-----.-....--..-. (aankondigen)
.-.--.-.-----.-....--...-. (aankondiger)
.-.--.-.-----.-....--...-.... (aankondigers)
.-.--.-.-----.-....--...-.--. (aankondiging)
.-.--.-.-----.-....--...-.--..-. (aankondigingen)
.-.--.-.-----.-....--....-..-. (aankondigster)
.-.--.-.-----.-....--....-..-.... (aankondigsters)
.-.--.-.-------...-. (aankooien)
.-.--.-.-------.--..-. (aankoopen)
.-.--.-.-------.--...-.--. (aankooping)
.-.--.-.-------.--...-.--..-. (aankoopingen)
.-.--.-.----.--..--...-...-. (aankoppelen)
.-.--.-.----.--..--...-....-.--. (aankoppeling)
.-.--.-.----.--..--...-....-.--..-. (aankoppelingen)
.-.--.-.----.--..--..-. (aankoppen)
.-.--.-.----.-....-..-.--..-. (aankorstingen)
.-.--.-.-.-..-----.-. (aankrammen)
.-.--.-.-.-....-----..-. (aankrijgen)
.-.--.-.-.-....----.-. (aankrijten)
.-.--.-.-.-...-...-. (aankruien)
.-.--.-.-.-...-....-.--. (aankruiing)
.-.--.-.-.-...-....-.--..-. (aankruiingen)
.-.--.-.-.-...-...--..-. (aankruipen)
.-.--.-.-..-....-..-. (aankuieren)
.-.--.-.-..--.-..-. (aankunnen)
.-.--.-.-.--..-.- (aankweek)
.-.--.-.-.--..-.-..-....-.--. (aankweekeling)
.-.--.-.-.--..-.-..-....-.--.. (aankweekelinge)
.-.--.-.-.--..-.-..-....-.--..-. (aankweekelingen)
.-.--.-.-.--..-.-.-. (aankweeken)
.-.--.-.-.--..-.-..-. (aankweeker)
.-.--.-.-.--..-.-..-.... (aankweekers)
.-.--.-.-.--..-.-..-.--. (aankweeking)
.-.--.-.-.--..-.-...-..-. (aankweekster)
.-.--.-.-.--..-.-...-..-.... (aankweeksters)
.-.--..-...--.-......-. (aanlachen)
.-.--..-...--.-...-. (aanlanden)
.-.--..-...--.-....-.--. (aanlanding)
.-.--..-...--.-....-.--..-. (aanlandingen)
.-.--..-...--.--..-. (aanlangen)
.-.--..-...-.--..--..-. (aanlappen)
.-.--..-...-......-.-......-. (aanlasschen)
.-.--..-...-......-.-.......-.--. (aanlassching)
.-.--..-...-......-.-.......-.--..-. (aanlasschingen)
.-.--..-...--.-. (aanlaten)
.-.--..-.....-..-. (aanleeren)
.-.--..-...--. (aanleg)
.-.--..-...--.--..-. (aanleggen)
.-.--..-...--.--...-. (aanlegger)
.-.--..-...--.--...-.... (aanleggers)
.-.--..-...--.--...-.--. (aanlegging)
.-.--..-...--.--...-.--..-. (aanleggingen)
.-.--..-...--..--..-...-.--... (aanlegplaats)
.-.--..-...--..--..-...-.--....-. (aanlegplaatsen)
.-.--..-...--....-..-. (aanlegster)
.-.--..-...--....-..-..-. (aanlegsteren)
.-.--..-...--....-..-.... (aanlegsters)
.-.--..-.....-...-. (aanleiden)
.-.--..-.....-....-. (aanleider)
.-.--..-.....-....-.... (aanleiders)
.-.--..-.....-....-.--. (aanleiding)
.-.--..-.....-....-.--..-. (aanleidingen)
.-.--..-...-..-. (aanlenen)
.-.--..-...-.--..-. (aanlengen)
.-.--..-.....--..-. (aanleunen)
.-.--..-.....--...-.--. (aanleuning)
.-.--..-.....--...-.--..-. (aanleuningen)
.-.--..-.....--...-.--.....--...--.- (aanleuningspunt)
.-.--..-.....--...-.--.....--...--.-.-. (aanleuningspunten)
.-.--..-....-.-.....-.-. (aanlichten)
.-.--..-....--.--..-. (aanliggen)
.-.--..-....--.--..-.-.. (aanliggend)
.-.--..-.....-----.-. (aanlijmen)
.-.--..-..---....-. (aanloeien)
.-.--..-..---..-..-. (aanloeren)
.-.--..-..---....-.-. (aanloeven)
.-.--..-..----.--.-..-.....----.- (aanlokkelijk)
.-.--..-..----.--.-..-.....----.-..-. (aanlokkelijker)
.-.--..-..----.--.-..-.....----.-.....-...-. (aanlokkelijkheden)
.-.--..-..----.--.-..-.....----.-.......-.. (aanlokkelijkheid)
.-.--..-..----.--.-..-.....----.-...- (aanlokkelijkst)
.-.--..-..----.--.-.-. (aanlokken)
.-.--..-..----.--.-..-.--. (aanlokking)
.-.--..-..----.--.-..-.--..-. (aanlokkingen)
.-.--..-..----.-.....-.. (aanloksel)
.-.--..-..----.-.....-...-. (aanlokselen)
.-.--..-..----.-.....-..... (aanloksels)
.-.--..-..----.-.-.-. (aanlonken)
.-.--..-..-------...-. (aanlooden)
.-.--..-..------.--. (aanloop)
.-.--..-..------.--..-. (aanloopen)
.-.--..-..------.--..---. (aanloopje)
.-.--..-..------.--..---.... (aanloopjes)
.-.--..-..------.--.-.-.-.....-.-. (aanloopkleur)
